event_id,year
2012-0260-CHN,2012
2012-0260-PHL,2012
2012-0260-TWN,2012
2012-0276-MEX,2012
2012-0282-CHN,2012
2012-0283-CHN,2012
2012-0294-CHN,2012
2012-0294-PHL,2012
2012-0294-VNM,2012
2012-0296-PHL,2012
2012-0313-CUB,2012
2012-0313-DOM,2012
2012-0313-HTI,2012
2012-0313-PRI,2012
2012-0313-USA,2012
2012-0374-PHL,2012
2012-0401-MEX,2012
2012-0406-CHN,2012
2012-0406-PHL,2012
2012-0406-VNM,2012
2012-0410-BHS,2012
2012-0410-CUB,2012
2012-0410-DOM,2012
2012-0410-HTI,2012
2012-0410-JAM,2012
2012-0410-USA,2012
2012-0414-JPN,2012
2012-0414-KOR,2012
2012-0414-PRK,2012
2012-0425-IND,2012
2012-0425-LKA,2012
2012-0434-PHL,2012
2012-0451-JPN,2012
2012-0463-PHL,2012
2012-0498-FJI,2012
2012-0498-WLF,2012
2012-0498-WSM,2012
2012-0500-PHL,2012
2012-0500-PLW,2012
2012-0540-PHL,2012
2012-0585-KOR,2012
2012-0585-TWN,2012
2012-0588-JPN,2012
2012-0588-KOR,2012
2013-0008-AUS,2013
2013-0026-MDG,2013
2013-0026-SYC,2013
2013-0032-MDG,2013
2013-0036-PHL,2013
2013-0138-BGD,2013
2013-0138-IND,2013
2013-0138-LKA,2013
2013-0188-MEX,2013
2013-0249-CHN,2013
2013-0249-TWN,2013
2013-0258-CHN,2013
2013-0258-PHL,2013
2013-0261-CHN,2013
2013-0272-CHN,2013
2013-0272-PHL,2013
2013-0306-CHN,2013
2013-0306-TWN,2013
2013-0335-MEX,2013
2013-0341-CHN,2013
2013-0341-VNM,2013
2013-0358-MEX,2013
2013-0373-CHN,2013
2013-0373-PHL,2013
2013-0373-TWN,2013
2013-0378-PHL,2013
2013-0396-JPN,2013
2013-0401-IND,2013
2013-0406-MEX,2013
2013-0413-JPN,2013
2013-0415-JPN,2013
2013-0419-CHN,2013
2013-0419-VNM,2013
2013-0429-CHN,2013
2013-0429-JPN,2013
2013-0430-PHL,2013
2013-0430-VNM,2013
2013-0433-CHN,2013
2013-0433-PHL,2013
2013-0433-PLW,2013
2013-0433-VNM,2013
2013-0437-PHL,2013
2013-0438-SOM,2013
2013-0515-IND,2013
2014-0001-TON,2014
2014-0016-REU,2014
2014-0020-PHL,2014
2014-0055-PHL,2014
2014-0092-COM,2014
2014-0092-MDG,2014
2014-0096-VUT,2014
2014-0183-GTM,2014
2014-0183-MEX,2014
2014-0213-CHN,2014
2014-0227-CHN,2014
2014-0227-PHL,2014
2014-0227-VNM,2014
2014-0236-JPN,2014
2014-0240-CHN,2014
2014-0240-PHL,2014
2014-0240-TWN,2014
2014-0310-USA,2014
2014-0314-JPN,2014
2014-0314-KOR,2014
2014-0316-JPN,2014
2014-0325-MEX,2014
2014-0330-CHN,2014
2014-0330-PHL,2014
2014-0330-TWN,2014
2014-0333-MEX,2014
2014-0385-MEX,2014
2014-0386-MEX,2014
2014-0390-CHN,2014
2014-0390-PHL,2014
2014-0390-VNM,2014
2014-0392-IND,2014
