transformed_feature,original_feature,class,mean_abs_shap
categorical__country_code_NIU,country_code,Severe,0.0
categorical__country_code_NLD,country_code,Low,2.4863818572559964e-05
categorical__country_code_NLD,country_code,Moderate,6.391427570443039e-06
categorical__country_code_NLD,country_code,Severe,3.1255246143003025e-05
categorical__country_code_NOR,country_code,Low,0.0
categorical__country_code_NOR,country_code,Moderate,0.0
categorical__country_code_NOR,country_code,Severe,0.0
categorical__country_code_NPL,country_code,Low,8.437289942918273e-05
categorical__country_code_NPL,country_code,Moderate,3.798591250397957e-05
categorical__country_code_NPL,country_code,Severe,0.00011064177457517841
categorical__country_code_NZL,country_code,Low,4.5404976001068736e-05
categorical__country_code_NZL,country_code,Moderate,1.1901531782374676e-05
categorical__country_code_NZL,country_code,Severe,5.730650778344256e-05
categorical__country_code_OMN,country_code,Low,1.037388118413573e-05
categorical__country_code_OMN,country_code,Moderate,1.0495066409635939e-05
categorical__country_code_OMN,country_code,Severe,1.2118522550011396e-07
categorical__country_code_PAK,country_code,Low,0.00014431042161318862
categorical__country_code_PAK,country_code,Moderate,0.00013063018933507254
categorical__country_code_PAK,country_code,Severe,0.0001402418405217131
categorical__country_code_PAN,country_code,Low,1.3389820481502174e-06
categorical__country_code_PAN,country_code,Moderate,1.3957907009607316e-06
categorical__country_code_PAN,country_code,Severe,5.6808652810492705e-08
categorical__country_code_PER,country_code,Low,0.00023315072728295305
categorical__country_code_PER,country_code,Moderate,3.4901130910853606e-05
categorical__country_code_PER,country_code,Severe,0.00025711456163395274
categorical__country_code_PHL,country_code,Low,0.00025437294393447187
categorical__country_code_PHL,country_code,Moderate,0.000366962819900115
categorical__country_code_PHL,country_code,Severe,0.0002794288854799157
categorical__country_code_PNG,country_code,Low,7.896741250802841e-06
categorical__country_code_PNG,country_code,Moderate,3.9892272809054305e-06
categorical__country_code_PNG,country_code,Severe,1.1885968531707992e-05
categorical__country_code_POL,country_code,Low,0.0003037862304074825
categorical__country_code_POL,country_code,Moderate,2.0513486238601905e-05
categorical__country_code_POL,country_code,Severe,0.00031176718819221166
categorical__country_code_PRI,country_code,Low,0.0
categorical__country_code_PRI,country_code,Moderate,0.0
categorical__country_code_PRI,country_code,Severe,0.0
categorical__country_code_PRK,country_code,Low,0.0006342225915176582
categorical__country_code_PRK,country_code,Moderate,6.284731630421365e-05
categorical__country_code_PRK,country_code,Severe,0.0005742282787827959
categorical__country_code_PRT,country_code,Low,2.111102599425669e-06
categorical__country_code_PRT,country_code,Moderate,3.185904994806839e-06
categorical__country_code_PRT,country_code,Severe,1.0748023953811675e-06
categorical__country_code_PRY,country_code,Low,8.939242377981131e-07
categorical__country_code_PRY,country_code,Moderate,1.19387951887257e-06
categorical__country_code_PRY,country_code,Severe,6.582914074220994e-07
categorical__country_code_PSE,country_code,Low,0.0
categorical__country_code_PSE,country_code,Moderate,0.0
categorical__country_code_PSE,country_code,Severe,0.0
categorical__country_code_PYF,country_code,Low,0.0
categorical__country_code_PYF,country_code,Moderate,0.0
categorical__country_code_PYF,country_code,Severe,0.0
categorical__country_code_QAT,country_code,Low,0.0
categorical__country_code_QAT,country_code,Moderate,0.0
categorical__country_code_QAT,country_code,Severe,0.0
categorical__country_code_REU,country_code,Low,0.0
categorical__country_code_REU,country_code,Moderate,0.0
categorical__country_code_REU,country_code,Severe,0.0
categorical__country_code_ROU,country_code,Low,9.871333488524733e-06
categorical__country_code_ROU,country_code,Moderate,9.124187325016008e-05
categorical__country_code_ROU,country_code,Severe,0.00010043723642209692
categorical__country_code_RUS,country_code,Low,0.000542032853545498
categorical__country_code_RUS,country_code,Moderate,5.230079747731863e-05
categorical__country_code_RUS,country_code,Severe,0.0005606171253702332
categorical__country_code_RWA,country_code,Low,1.9884164412511774e-05
categorical__country_code_RWA,country_code,Moderate,2.1908968027468962e-05
categorical__country_code_RWA,country_code,Severe,2.0248036149569946e-06
categorical__country_code_SAU,country_code,Low,0.00016886329261608653
categorical__country_code_SAU,country_code,Moderate,0.00017270932721375536
categorical__country_code_SAU,country_code,Severe,0.0002644879251975018
categorical__country_code_SCG,country_code,Low,0.0
categorical__country_code_SCG,country_code,Moderate,0.0
categorical__country_code_SCG,country_code,Severe,0.0
categorical__country_code_SDN,country_code,Low,0.00010930521827191744
categorical__country_code_SDN,country_code,Moderate,2.8343874301404213e-05
categorical__country_code_SDN,country_code,Severe,0.0001336989022967165
categorical__country_code_SEN,country_code,Low,1.2144179527727802e-06
categorical__country_code_SEN,country_code,Moderate,9.784337164483551e-06
categorical__country_code_SEN,country_code,Severe,8.890629694786363e-06
categorical__country_code_SGP,country_code,Low,0.0
categorical__country_code_SGP,country_code,Moderate,0.0
