analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2022-0388-COL,,1,,,,year=2022; true=Low; predicted=Moderate; type=Collapse (Miscellaneous); region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2022-0423-JPN,,1,,,,year=2022; true=Moderate; predicted=High; type=Extreme temperature; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0428-CHN,,1,,,,year=2022; true=Moderate; predicted=High; type=Flood; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0465-CYP,,1,,,,year=2022; true=High; predicted=Extreme; type=Extreme temperature; region=Western Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0449-CAF,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=missing; categories=known_categories
misclassified_sample,2022-0465-DEU,,1,,,,year=2022; true=Extreme; predicted=High; type=Extreme temperature; region=Western Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-EST,,1,,,,year=2022; true=High; predicted=Extreme; type=Extreme temperature; region=Northern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-GBR,,1,,,,year=2022; true=Extreme; predicted=High; type=Extreme temperature; region=Northern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-HRV,,1,,,,year=2022; true=High; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-MLT,,1,,,,year=2022; true=Moderate; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-MNE,,1,,,,year=2022; true=Moderate; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-POL,,1,,,,year=2022; true=High; predicted=Extreme; type=Extreme temperature; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-SVK,,1,,,,year=2022; true=High; predicted=Extreme; type=Extreme temperature; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0465-SWE,,1,,,,year=2022; true=Moderate; predicted=High; type=Extreme temperature; region=Northern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0476-IRN,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
