analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2023-0660-AFG,,1,,,,year=2023; true=Low; predicted=High; type=Earthquake; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0644-BEN,,1,,,,year=2023; true=Moderate; predicted=High; type=Fire (Miscellaneous); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0634-CMR,,1,,,,year=2023; true=Moderate; predicted=High; type=Mass movement (wet); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0622-IND,,1,,,,year=2023; true=High; predicted=Moderate; type=Glacial lake outburst flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0619-ZAF,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0564-COG,,1,,,,year=2023; true=Moderate; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0438-LIE,,1,,,,year=2023; true=Low; predicted=High; type=Extreme temperature; region=Western Europe; hdi=present; categories=unknown_category
misclassified_sample,2023-0438-LUX,,1,,,,year=2023; true=Moderate; predicted=High; type=Extreme temperature; region=Western Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0654-MLI,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2022-0843-MWI,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0438-LVA,,1,,,,year=2023; true=Moderate; predicted=Extreme; type=Extreme temperature; region=Northern Europe; hdi=present; categories=known_categories
misclassified_sample,2022-0442-AFG,,1,,,,year=2022; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0323-PAK,,1,,,,year=2022; true=Low; predicted=High; type=Wildfire; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2022-0020-BRA,,1,,,,year=2022; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
