grouping_strategy,group_key,disaster_type,disaster_subtype,magnitude_scale,total_records,magnitude_nonmissing,magnitude_missing,magnitude_nonmissing_rate,minimum,q1,median,q3,iqr,maximum,extreme_outlier_count,training_records,training_nonmissing,training_median_audit_only,training_iqr_audit_only,full_data_iqr_zero,training_iqr_zero,semantic_consistent,semantic_notes,statistically_supported_from_training,recommended_hybrid_group,unsupported_reasons
disaster_subtype+magnitude_scale,Rockfall (dry) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Rockfall (dry),<MISSING_SCALE>,4,0,4,0.0,,,,,,,0,3,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Rockfall (wet) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Rockfall (wet),<MISSING_SCALE>,3,0,3,0.0,,,,,,,0,3,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Sudden Subsidence (wet) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Sudden Subsidence (wet),<MISSING_SCALE>,1,0,1,0.0,,,,,,,0,1,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Volcanic activity (General) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Volcanic activity (General),<MISSING_SCALE>,12,0,12,0.0,,,,,,,0,7,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Water | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Water,<MISSING_SCALE>,1187,0,1187,0.0,,,,,,,0,952,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Worms infestation | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Worms infestation,<MISSING_SCALE>,2,0,2,0.0,,,,,,,0,2,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Coastal flood | Km2,<MULTIPLE_OR_NOT_APPLICABLE>,Coastal flood,Km2,42,14,28,0.3333333333333333,3.0,10757.5,21885.614999999998,63212.5,52455.0,438800.0,2,42,14,21885.614999999998,52455.0,False,False,True,area unit is consistent within the disaster type; do not merge across disaster types,False,False,training non-missing sample count 14 < 20
disaster_subtype+magnitude_scale,"Land fire (Brush, Bush, Pasture) | Km2",<MULTIPLE_OR_NOT_APPLICABLE>,"Land fire (Brush, Bush, Pasture)",Km2,46,7,39,0.15217391304347827,10.0,212.5,300.0,4300.0,4087.5,169967.0,1,45,7,300.0,4087.5,False,False,True,area unit is consistent within the disaster type; do not merge across disaster types,False,False,training non-missing sample count 7 < 20
disaster_subtype+magnitude_scale,Wildfire (General) | Km2,<MULTIPLE_OR_NOT_APPLICABLE>,Wildfire (General),Km2,104,5,99,0.04807692307692308,72.0,350.0,500.0,1101.5,751.5,59000.0,1,26,5,500.0,751.5,False,False,True,area unit is consistent within the disaster type; do not merge across disaster types,False,False,training non-missing sample count 5 < 20
disaster_subtype+magnitude_scale,Blizzard/Winter storm | Kph,<MULTIPLE_OR_NOT_APPLICABLE>,Blizzard/Winter storm,Kph,191,14,177,0.07329842931937172,64.0,105.5,114.5,127.5,22.0,230.0,1,152,12,114.5,26.5,False,False,True,wind-speed unit and direction are consistent within Storm,False,False,training non-missing sample count 12 < 20
