model_id,fold,threshold,candidate_id,default_prediction_disagreement,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,quadratic_weighted_kappa,severe_to_low,low_to_severe,low_precision,low_recall,low_f1,low_support,moderate_precision,moderate_recall,moderate_f1,moderate_support,severe_precision,severe_recall,severe_f1,severe_support,severe_to_low_rate
LGBM_T2,4,0.43,LGBM_T2_t0.43,9,0.7276119402985075,0.603344119051376,0.6058174832203012,0.603344119051376,0.597538618897312,0.7245968645126823,0.5252913238690925,13,5,0.683698296836983,0.8726708074534162,0.7667121418826739,322,0.8314285714285714,0.6720554272517321,0.7432950191570882,433,0.3023255813953488,0.2653061224489796,0.2826086956521739,49,0.2653061224489796
LGBM_T2,pooled,0.44,LGBM_T2_t0.44,44,0.6745527986151183,0.6081052651073208,0.5571552148250738,0.6081052651073208,0.5641504447797515,0.6876107295041107,0.4482894793209019,68,44,0.5891259463179629,0.8351219512195122,0.6908797417271993,1025,0.8659217877094972,0.6355353075170843,0.7330530740935365,2195,0.21641791044776118,0.35365853658536583,0.26851851851851855,246,0.2764227642276423
LGBM_T2,1,0.44,LGBM_T2_t0.44,14,0.653217011995638,0.6205884603611876,0.5523462399294522,0.6205884603611876,0.560983335598164,0.6755415168931691,0.4736643857115952,9,13,0.60828025477707,0.7958333333333333,0.6895306859205776,240,0.8487584650112867,0.6214876033057851,0.7175572519083969,605,0.2,0.4444444444444444,0.27586206896551724,72,0.125
LGBM_T2,2,0.44,LGBM_T2_t0.44,18,0.6693830034924331,0.6008755550647673,0.5470909203220338,0.6008755550647673,0.549625079473805,0.685518196039858,0.3978078577594518,25,10,0.5395095367847411,0.8608695652173913,0.6633165829145728,230,0.9017632241813602,0.6302816901408451,0.7419689119170985,568,0.2,0.3114754098360656,0.24358974358974358,61,0.4098360655737705
LGBM_T2,3,0.44,LGBM_T2_t0.44,8,0.6512415349887133,0.5987910816082155,0.5392101605879275,0.5987910816082155,0.5446891774559792,0.6702613337819723,0.3694703441871108,21,17,0.5152354570637119,0.7982832618025751,0.6262626262626263,233,0.8822115384615384,0.6230899830220713,0.7303482587064677,589,0.22018348623853212,0.375,0.2774566473988439,64,0.328125
LGBM_T2,4,0.44,LGBM_T2_t0.44,4,0.7300995024875622,0.5988508667851115,0.6092189282019002,0.5988508667851115,0.5962557014164022,0.7257463605823022,0.5270816597969369,13,4,0.683698296836983,0.8726708074534162,0.7667121418826739,322,0.828169014084507,0.6789838337182448,0.7461928934010152,433,0.3157894736842105,0.24489795918367346,0.27586206896551724,49,0.2653061224489796
LGBM_T2,pooled,0.45,LGBM_T2_t0.45,46,0.6757068667051356,0.607682895963356,0.5574866615707506,0.607682895963356,0.564625644540726,0.6882992358796148,0.44988222749730866,68,42,0.5890034364261169,0.8360975609756097,0.6911290322580645,1025,0.865182436611008,0.6373576309794988,0.7339979013641134,2195,0.2182741116751269,0.34959349593495936,0.26875,246,0.2764227642276423
LGBM_T2,1,0.45,LGBM_T2_t0.45,16,0.6543075245365322,0.6211394245485155,0.5526599836726419,0.6211394245485155,0.5617763160433198,0.676211281259694,0.4735201838424328,9,13,0.6063492063492063,0.7958333333333333,0.6882882882882883,240,0.8490990990990991,0.6231404958677685,0.7187797902764538,605,0.20253164556962025,0.4444444444444444,0.2782608695652174,72,0.125
LGBM_T2,2,0.45,LGBM_T2_t0.45,19,0.6693830034924331,0.6008755550647673,0.5470448945987983,0.6008755550647673,0.5498929004648344,0.6851219128910406,0.4011602076237055,25,9,0.5395095367847411,0.8608695652173913,0.6633165829145728,230,0.8994974874371859,0.6302816901408451,0.7412008281573499,568,0.20212765957446807,0.3114754098360656,0.24516129032258063,61,0.4098360655737705
LGBM_T2,3,0.45,LGBM_T2_t0.45,7,0.654627539503386,0.6004888744774854,0.5415684813349221,0.6004888744774854,0.547580850522027,0.6731270584709703,0.37005048128197404,21,17,0.5152354570637119,0.7982832618025751,0.6262626262626263,233,0.883054892601432,0.6281833616298812,0.7341269841269841,589,0.22641509433962265,0.375,0.2823529411764706,64,0.328125
