event_id,year,country_code,region,disaster_type,disaster_subtype,event_date,event_date_upper,date_granularity,is_severe_description_only,label_available_description_only,event_name,Location,start_year,start_month,start_day,end_year,end_month,end_day,emdat_magnitude,emdat_magnitude_scale
2001-0570-MEX,2001,MEX,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-04,2001-10-04,day,0,True,Iris,Oaxaca province,2001,10,4,2001,10,9,,Kph
2001-0584-IND,2001,IND,Southern Asia,Storm,Tropical cyclone,2001-10-01,2001-10-31,month,0,True,,Andhra Pradesh province,2001,10,,2001,10,,,Kph
2001-0603-HND,2001,HND,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-30,2001-10-30,day,0,True,Michelle,"Colon, Atlantida, Yoro, Cortes, Gracias A Dios, Islas De Bahia provinces",2001,10,30,2001,11,4,219,Kph
2001-0611-CYM,2001,CYM,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-30,2001-10-30,day,0,False,Michelle,,2001,10,30,2001,11,5,,Kph
2001-0611-HTI,2001,HTI,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-30,2001-10-30,day,0,False,Michelle,"Grande Anse, Centre, Sud, Nippes, Ouest, Artibonite, Nord Ouest, Nord, Nord Est, Sud Est provinces",2001,10,30,2001,11,5,,Kph
2001-0611-NIC,2001,NIC,Latin America and the Caribbean,Storm,Tropical cyclone,2001-11-01,2001-11-01,day,0,True,Michelle,Atlantico Norte province,2001,11,1,2001,11,4,110,Kph
2001-0612-CUB,2001,CUB,Latin America and the Caribbean,Storm,Tropical cyclone,2001-11-04,2001-11-04,day,0,True,Hurricane Michelle,"Matanzas, Cienfuegos, Villa Clara, Sancti Spiritus, Isla de la Juventud, Pinar del Rio, Ciudad De La Habana, Ciego de Avila provinces",2001,11,4,2001,11,4,250,Kph
2001-0614-PHL,2001,PHL,South-eastern Asia,Storm,Tropical cyclone,2001-11-08,2001-11-08,day,1,True,Lingling (Nanang),"Camiguin, Misamis Oriental districts (Region X (Northern Mindanao) province)",2001,11,8,2001,11,8,215,Kph
2001-0615-JAM,2001,JAM,Latin America and the Caribbean,Storm,Tropical cyclone,2001-11-06,2001-11-06,day,0,True,Michelle,"Clarendon, Hanover, Manchester, Portland, Saint Andrew And Kingston, Saint Ann, Saint Catherine, Saint Elizabeth, Saint James, Saint Mary, Saint Thomas, Trelawny, Westmoreland provinces",2001,11,6,2001,11,6,120,Kph
2001-0624-VNM,2001,VNM,South-eastern Asia,Storm,Tropical cyclone,2001-11-12,2001-11-12,day,0,True,Lingling (Nanang),"Phu Yen, Binh Dinh, Quang Ngai, Quang Tri provinces",2001,11,12,2001,11,12,,Kph
2001-0659-COK,2001,COK,Polynesia,Storm,Tropical cyclone,2001-12-02,2001-12-02,day,0,False,Trina,"Rarotonga, Avarua, Mangaia islands",2001,12,2,2001,12,2,130,Kph
2001-0671-BHS,2001,BHS,Latin America and the Caribbean,Storm,Tropical cyclone,2001-11-09,2001-11-09,day,0,False,Michelle,New Providence island (Administrative unit not available),2001,11,9,2001,11,9,,Kph
2001-0711-TON,2001,TON,Polynesia,Storm,Tropical cyclone,2001-12-31,2001-12-31,day,0,False,Waka,"Vava'u, Niuafo'ou islands (Tonga province)",2001,12,31,2001,12,31,260,Kph
2001-0735-MEX,2001,MEX,Latin America and the Caribbean,Storm,Tropical cyclone,2001-08-21,2001-08-21,day,0,False,Chantal,Quintana Roo province,2001,8,21,2001,8,21,100,Kph
2001-0758-PHL,2001,PHL,South-eastern Asia,Storm,Tropical cyclone,2001-12-05,2001-12-05,day,0,True,Kajiki (Quedan),"Cebu district (Region VII (Central Visayas) province), Leyte district (Region VIII (Eastern Visayas) province)",2001,12,5,2001,12,7,,Kph
2001-0796-CHN,2001,CHN,Eastern Asia,Storm,Tropical cyclone,2001-08-28,2001-08-28,day,0,True,Fitow,"Guangdong Sheng, Hainan Sheng, Guangxi Zhuangzu Zizhiqu provinces",2001,8,28,2001,9,9,,Kph
2002-0004-MDG,2002,MDG,Sub-Saharan Africa,Storm,Tropical cyclone,2002-01-02,2002-01-02,day,0,True,Cyprien,"Morondava district (Menabe province), Morombe, Toliary-I districts (Atsimo Andrefana province)",2002,1,2,2002,1,2,150,Kph
2002-0039-MUS,2002,MUS,Sub-Saharan Africa,Storm,Tropical cyclone,2002-01-22,2002-01-22,day,0,True,Dina,Port Louis province,2002,1,22,2002,1,22,206,Kph
2002-0043-REU,2002,REU,Sub-Saharan Africa,Storm,Tropical cyclone,2002-01-01,2002-01-31,month,0,False,Dina,"Arrondissement du vent, Arrondissement sous le vent provinces",2002,1,,2002,1,,250,Kph
2002-0126-FSM,2002,FSM,Micronesia,Storm,Tropical cyclone,2002-03-03,2002-03-03,day,0,False,Mitag,Yap Island (Micronesia province),2002,3,3,2002,3,3,212,Kph
2002-0204-IND,2002,IND,Southern Asia,Storm,Tropical cyclone,2002-04-03,2002-04-03,day,0,True,,West Bengal province,2002,4,3,2002,4,3,,Kph
2002-0233-BGD,2002,BGD,Southern Asia,Storm,Tropical cyclone,2002-04-22,2002-04-22,day,0,True,,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province)",2002,4,22,2002,4,22,,Kph
2002-0281-MDG,2002,MDG,Sub-Saharan Africa,Storm,Tropical cyclone,2002-05-09,2002-05-09,day,0,True,Kesiny,"Antsiranana II, Ambilobe, Nosy-Be districts (Diana province), Vohemar district (Sava province), Fenerive Est, Maroantsetra districts (Analanjirofo province), Atsinanana province",2002,5,9,2002,5,9,180,Kph
2002-0397-FSM,2002,FSM,Micronesia,Storm,Tropical cyclone,2002-07-01,2002-07-01,day,0,True,Chata'an,"Weno, Tonoas, Fefan, Udot, Uman, Siis villages (Chuuk island, Micronesia province)",2002,7,1,2002,7,1,112,Kph
2002-0408-PHL,2002,PHL,South-eastern Asia,Storm,Tropical cyclone,2002-07-07,2002-07-07,day,0,True,Chata'an,National Capital region (NCR) province,2002,7,7,2002,7,9,170,Kph
2002-0423-PHL,2002,PHL,South-eastern Asia,Storm,Tropical cyclone,2002-07-13,2002-07-13,day,0,True,Halong (Anday),"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region) provinces",2002,7,13,2002,7,13,160,Kph
2002-0430-JPN,2002,JPN,Eastern Asia,Storm,Tropical cyclone,2002-07-15,2002-07-15,day,0,False,Halong,"Okinawa, Kagosima, Isikawa provinces",2002,7,15,2002,7,15,108,Kph
2002-0431-JPN,2002,JPN,Eastern Asia,Storm,Tropical cyclone,2002-07-05,2002-07-05,day,0,True,Chata'an,Hokkaidoo province,2002,7,5,2002,7,5,,Kph
2002-0432-GUM,2002,GUM,Micronesia,Storm,Tropical cyclone,2002-07-05,2002-07-05,day,0,False,Chata'an,Guam province,2002,7,5,2002,7,5,177,Kph
2002-0528-PHL,2002,PHL,South-eastern Asia,Storm,Tropical cyclone,2002-06-28,2002-06-28,day,0,True,Rammasun (Florita),National Capital region (NCR) province,2002,6,28,2002,7,3,,Kph
2002-0557-KOR,2002,KOR,Eastern Asia,Storm,Tropical cyclone,2002-08-31,2002-08-31,day,1,True,Rusa,"Kyongsangbuk-do, Kyongsangnam-do, Chungchongbuk-do, Chungchongnam-do, Kang-won-do, Cheju-do provinces",2002,8,31,2002,9,6,204,Kph
2002-0561-PRK,2002,PRK,Eastern Asia,Storm,Tropical cyclone,2002-08-31,2002-08-31,day,0,True,Rusa,"Tongchon, Anbyon, Kosong districts (Kangwon-do province)",2002,8,31,2002,9,6,,Kph
